tweet_id,sentiment,author,tweet_data
1956967341,0,xoshayzers,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666,0,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,0,cool1ky,1eral ceremony...gloomy friday...
1956967789,1,czareaquino,wants to hang out with friends SOON!
1956968416,1,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968477,1,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487,0,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636,1,mcsleazy,Hmmm. http://www.djhero.com/ is down
1956969035,0,nic0lepaula,@charviray Charlene my 1. I miss you
1956969172,0,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?
1956969456,1,feinyheiny,cant fall asleep
1956969531,1,dudeitsmanda,Choked on her retainers
1956970047,0,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,0,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,1,okiepeanut93,Got the news
1956971077,0,Sim_34,The storm is here and the electricity is gone
1956971170,1,poppygallico,@annarosekerr agreed
1956971206,0,brokenangel1982,So sleepy again and it's not even that late. I fail once again.
1956971473,1,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586,0,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981,1,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972097,1,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972116,1,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972270,1,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,0,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot
1956972444,1,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557,0,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884,1,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598,0,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I 0 school.....  time to sleep!!!!!!!!!!!
1956973690,1,catchtheapple,I 0 CANCER. I 0 IT I 0 IT I 0 IT.
1956974706,0,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956975441,1,LovableKeKe,@cynthia_123 i cant sleep
1956975860,1,analalalah,I missed the bl***y bus!!!!!!!!
1956975876,1,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,1,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow
